"Time","F1","F2","F3",
2.35,0.1,0.3,0.3,
2.36,0.1,0.3,0.3,
2.37,0.1,0.3,0.3,
2.38,0.1,0.3,0.3,
2.39,0.1,0.3,0.3,
2.4,0.1,0.3,0.3,
2.41,0.1,0.3,0.3,
2.42,0.1,0.3,0.3,
2.43,0.1,0.3,0.3,
2.44,0.1,0.3,0.3,
2.45,0.1,0.3,0.3,
2.46,0.1,0.3,0.3,
2.47,0.1,0.3,0.3,
2.48,0.1,0.3,0.3,
2.49,0.1,0.3,0.3,
2.5,0.1,0.3,0.3,
2.51,0.1,0.3,0.3,
2.52,0.1,0.3,0.3,
2.53,0.1,0.3,0.3,
2.54,0.1,0.3,0.3,
2.55,0.1,0.3,0.3,
2.56,0.1,0.3,0.3,
2.57,0.1,0.3,0.3,
2.58,0.1,0.3,0.3,
2.59,0.1,0.3,0.3,
2.6,0.1,0.3,0.3,
2.61,0.1,0.3,0.3,
2.62,0.1,0.3,0.3,
2.63,0.1,0.3,0.3,
2.64,0.1,0.3,0.3,
2.65,0.1,0.3,0.3,
2.66,0.1,0.3,0.3,
2.67,0.1,0.3,0.3,
2.68,0.1,0.3,0.3,
2.69,0.1,0.3,0.3,
2.7,0.1,0.3,0.3,
2.71,0.1,0.3,0.3,
2.72,0.1,0.3,0.3,
2.73,0.1,0.3,0.3,
2.74,0.1,0.3,0.3,
2.75,0.1,0.3,0.3,
2.76,0.11,0.3,0.3,
2.77,0.11,0.3,0.3,
2.78,0.11,0.3,0.3,
2.79,0.11,0.3,0.3,
2.8,0.11,0.3,0.3,
2.81,0.11,0.3,0.3,
2.82,0.11,0.3,0.3,
2.83,0.11,0.3,0.3,
2.84,0.11,0.3,0.3,
2.85,0.11,0.3,0.3,
2.86,0.11,0.3,0.3,
2.87,0.11,0.3,0.3,
2.88,0.11,0.3,0.3,
2.89,0.11,0.3,0.3,
2.9,0.11,0.3,0.3,
2.91,0.11,0.3,0.3,
2.92,0.11,0.3,0.3,
2.93,0.11,0.3,0.3,
