"Time","H1","H2",
3.96,0,0.7,
3.97,0.6848,0,
3.98,0,10,
3.99,0,0.9,
4,0.6976,0,
4.01,0,10,
4.02,0,1.1,
4.03,0.7104,0,
4.04,0,10,
4.05,0,1.3,
4.06,0.7232,0,
4.07,0,10,
4.08,0,1.5,
4.09,0.736,0,
4.1,0,10,
4.11,0,1.7,
4.12,0.7488,0,
4.13,0,10,
4.14,0,1.9,
4.15,0.7616,0,
4.16,0,10,
4.17,0,2.1,
4.18,0.7744,0,
4.19,0,10,
4.2,0,2.3,
4.21,0.7872,0,
4.22,0,10,
4.23,0,2.5,
4.24,0.8,0,
4.25,0,10,
4.26,0,2.7,
4.27,0.8128,0,
4.28,0,10,
4.29,0,2.9,
4.3,0.8256,0,
4.31,0,10,
4.32,0,3.1,
4.33,0.8384,0,
4.34,0,10,
4.35,0,3.3,
4.36,0.8512,0,
4.37,0,10,
4.38,0,3.5,
4.39,0.864,0,
4.4,0,10,
4.41,0,3.7,
4.42,0.8768,0,
4.43,0,10,
4.44,0,3.9,
4.45,0.8896,0,
4.46,0,10,
4.47,0,4.1,
4.48,0.9024,0,
4.49,0,10,
4.5,0,4.3,
4.51,0.9152,0,
4.52,0,10,
4.53,0,4.5,
4.54,0.928,0,
4.55,0,10,
4.56,0,4.7,
4.57,0.9408,0,
4.58,0,10,
4.59,0,4.9,
4.6,0.9536,0,
4.61,0,10,
4.62,0,5.1,
4.63,0.9664,0,
4.64,0,10,
4.65,0,5.3,
4.66,0.9792,0,
4.67,0,10,
4.68,0,5.5,
4.69,0.992,0,
4.7,0,10,
4.71,0,5.7,
4.72,1.0048,0,
4.73,0,10,
4.74,0,5.9,
4.75,1.0176,0,
4.76,0,10,
4.77,0,6.1,
4.78,1.0304,0,
4.79,0,10,
4.8,0,6.3,
4.81,1.0432,0,
4.82,0,10,
4.83,0,6.4,
4.84,1.0496,0,
4.85,0,10,
4.86,0,6.4,
4.87,1.0496,0,
4.88,0,8.3,
4.89,0.0064,0,
4.9,0,8.4,
4.91,0.5376,0,
4.92,0,8.5,
4.93,0.544,0,
4.94,0,8.7,
4.95,0.5568,0,
4.96,0,8.9,
4.97,0.5696,0,
4.98,0,9.1,
4.99,0.5824,0,
5,0,9.3,
5.01,0.5952,0,
5.02,0,9.5,
5.03,0.608,0,
5.04,0,9.7,
5.05,0.6208,0,
5.06,0,9.9,
5.07,0.6336,0,
5.08,0,10,
5.09,0,0.1,
5.1,0.6464,0,
5.11,0,10,
5.12,0,0.3,
5.13,0.6592,0,
5.14,0,10,
5.15,0,0.5,
5.16,0.672,0,
5.17,0,10,
5.18,0,0.7,
5.19,0.6848,0,
