"Time","H1","H2",
3.82,0,0.6208,
3.83,9.9,0,
3.84,0,0.6336,
3.85,10.1,0,
3.86,0,0.64,
3.87,0,0.0064,
3.88,10.3,0,
3.89,0,0.64,
3.9,0,0.0192,
3.91,10.5,0,
3.92,0,0.64,
3.93,0,0.032,
3.94,10.7,0,
3.95,0,0.64,
3.96,0,0.0448,
3.97,10.9,0,
3.98,0,0.64,
3.99,0,0.0576,
4,11.1,0,
4.01,0,0.64,
4.02,0,0.0704,
4.03,11.3,0,
4.04,0,0.64,
4.05,0,0.0832,
4.06,11.5,0,
4.07,0,0.64,
4.08,0,0.096,
4.09,11.7,0,
4.1,0,0.64,
4.11,0,0.1088,
4.12,11.9,0,
4.13,0,0.64,
4.14,0,0.1216,
4.15,12.1,0,
4.16,0,0.64,
4.17,0,0.1344,
4.18,12.3,0,
4.19,0,0.64,
4.2,0,0.1472,
4.21,12.5,0,
4.22,0,0.64,
4.23,0,0.16,
4.24,12.7,0,
4.25,0,0.64,
4.26,0,0.1728,
4.27,12.9,0,
4.28,0,0.64,
4.29,0,0.1856,
4.3,13.1,0,
4.31,0,0.64,
4.32,0,0.1984,
4.33,13.3,0,
4.34,0,0.64,
4.35,0,0.2112,
4.36,13.5,0,
4.37,0,0.64,
4.38,0,0.224,
4.39,13.7,0,
4.4,0,0.64,
4.41,0,0.2368,
4.42,13.9,0,
4.43,0,0.64,
4.44,0,0.2496,
4.45,14.1,0,
4.46,0,0.64,
4.47,0,0.2624,
4.48,14.3,0,
4.49,0,0.64,
4.5,0,0.2752,
4.51,14.5,0,
4.52,0,0.64,
4.53,0,0.288,
4.54,14.7,0,
4.55,0,0.64,
4.56,0,0.3008,
4.57,14.9,0,
4.58,0,0.64,
4.59,0,0.3136,
4.6,15.1,0,
4.61,0,0.64,
4.62,0,0.3264,
4.63,15.3,0,
4.64,0,0.64,
4.65,0,0.3392,
4.66,15.5,0,
4.67,0,0.64,
4.68,0,0.352,
4.69,15.7,0,
4.7,0,0.64,
4.71,0,0.3648,
4.72,15.9,0,
4.73,0,0.64,
4.74,0,0.3776,
4.75,16.1,0,
4.76,0,0.64,
4.77,0,0.3904,
4.78,16.3,0,
4.79,0,0.64,
4.8,0,0.4032,
4.81,16.5,0,
4.82,0,0.64,
4.83,0,0.4096,
4.84,16.6,0,
4.85,0,0.64,
4.86,0,0.4096,
4.87,8.3,0,
4.88,0,0.5312,
4.89,8.4,0,
4.9,0,0.5376,
4.91,8.5,0,
4.92,0,0.544,
4.93,8.7,0,
4.94,0,0.5568,
4.95,8.9,0,
4.96,0,0.5696,
4.97,9.1,0,
4.98,0,0.5824,
4.99,9.3,0,
5,0,0.5952,
5.01,9.5,0,
5.02,0,0.608,
5.03,9.7,0,
5.04,0,0.6208,
5.05,9.9,0,
5.06,0,0.6336,
5.07,10.1,0,
5.08,0,0.64,
5.09,0,0.0064,
5.1,10.3,0,
5.11,0,0.64,
5.12,0,0.0192,
5.13,10.5,0,
5.14,0,0.64,
5.15,0,0.032,
5.16,10.7,0,
5.17,0,0.64,
5.18,0,0.0448,
5.19,10.9,0,
5.2,0,0.64,
5.21,0,0.0576,
5.22,11.1,0,
5.23,0,0.64,
5.24,0,0.0704,
5.25,11.3,0,
5.26,0,0.64,
5.27,0,0.0832,
5.28,11.5,0,
5.29,0,0.64,
5.3,0,0.096,
5.31,11.7,0,
5.32,0,0.64,
5.33,0,0.1088,
5.34,11.9,0,
5.35,0,0.64,
5.36,0,0.1216,
5.37,12.1,0,
5.38,0,0.64,
5.39,0,0.1344,
5.4,12.3,0,
5.41,0,0.64,
5.42,0,0.1472,
5.43,12.5,0,
5.44,0,0.64,
5.45,0,0.16,
5.46,12.7,0,
5.47,0,0.64,
5.48,0,0.1728,
5.49,12.9,0,
5.5,0,0.64,
5.51,0,0.1856,
5.52,13.1,0,
5.53,0,0.64,
5.54,0,0.1984,
5.55,13.3,0,
5.56,0,0.64,
5.57,0,0.2112,
5.58,13.5,0,
5.59,0,0.64,
5.6,0,0.224,
5.61,13.7,0,
5.62,0,0.64,
5.63,0,0.2368,
5.64,13.9,0,
5.65,0,0.64,
5.66,0,0.2496,
5.67,14.1,0,
5.68,0,0.64,
5.69,0,0.2624,
5.7,1.7,0,
