"Time","F1",
4.98,0,
4.99,0.5824,
5,0,
5.01,0.5952,
5.02,0,
5.03,0.608,
5.04,0,
5.05,0.6208,
5.06,0,
5.07,0.6336,
5.08,0,
5.09,0,
5.1,0.6464,
5.11,0,
5.12,0,
5.13,0.6592,
5.14,0,
5.15,0,
5.16,0.672,
5.17,0,
5.18,0,
5.19,0.6848,
5.2,0,
5.21,0,
5.22,0.6976,
5.23,0,
5.24,0,
5.25,0.7104,
5.26,0,
5.27,0,
5.28,0.7232,
5.29,0,
5.3,0,
5.31,0.736,
5.32,0,
5.33,0,
5.34,0.7488,
5.35,0,
5.36,0,
5.37,0.7616,
5.38,0,
5.39,0,
5.4,0.7744,
5.41,0,
5.42,0,
5.43,0.7872,
5.44,0,
5.45,0,
5.46,0.8,
5.47,0,
5.48,0,
5.49,0.8128,
5.5,0,
5.51,0,
5.52,0.8256,
5.53,0,
5.54,0,
5.55,0.8384,
5.56,0,
5.57,0,
5.58,0.8512,
5.59,0,
5.6,0,
5.61,0.864,
5.62,0,
5.63,0,
5.64,0.8768,
5.65,0,
5.66,0,
5.67,0.8896,
5.68,0,
5.69,0,
5.7,0.9024,
